id,emotion
1626186,neutral
1626176,neutral
1626166,neutral
1626154,neutral
1626135,positive
1626100,neutral
1626081,neutral
1626070,neutral
1626059,neutral
1626044,neutral
1626033,neutral
1626008,neutral
1625994,neutral
1625975,neutral
1625950,neutral
1625927,neutral
1625917,neutral
1625893,positive
1625881,neutral
1625871,neutral
1625868,neutral
1625793,neutral
1625784,neutral
1625772,neutral
1625767,neutral
1625756,neutral
1625735,neutral
1625721,neutral
1625706,neutral
1625697,neutral
1625679,neutral
1625670,neutral
1625657,neutral
1625641,neutral
1625636,neutral
1625634,neutral
1625617,neutral
1625596,neutral
1625572,neutral
1625562,neutral
1625554,neutral
1625544,neutral
1625535,neutral
1625518,neutral
1625512,neutral
1625499,neutral
1625489,neutral
1625476,neutral
1625468,neutral
1625457,neutral
1625449,neutral
1625432,neutral
1625410,neutral
1625399,neutral
1625395,neutral
1625375,neutral
1625357,neutral
1625335,neutral
1625317,neutral
1625302,neutral
1625288,neutral
1625269,neutral
1625255,neutral
1625237,neutral
1625222,neutral
1625203,neutral
1625196,neutral
1625135,neutral
1625128,neutral
1625122,neutral
1625107,neutral
1625096,neutral
1625077,neutral
1625060,neutral
1625042,neutral
1625030,neutral
1625020,neutral
1625013,neutral
1624999,neutral
1624988,neutral
1624981,neutral
1624976,neutral
1624955,neutral
1624950,neutral
1624944,neutral
1624938,neutral
1624931,neutral
1624926,neutral
1624912,neutral
1624889,neutral
1624868,neutral
1624859,neutral
1624853,neutral
1624844,neutral
1624839,neutral
1624821,neutral
1624804,neutral
1624791,neutral
1624769,neutral
1624758,neutral
1624745,neutral
1624735,neutral
1624731,neutral
1624718,neutral
1624697,neutral
1624680,neutral
1624665,neutral
1624643,neutral
1624631,neutral
1624625,neutral
1624620,neutral
1624612,neutral
1624604,neutral
1624559,neutral
1624553,neutral
1624550,neutral
1624547,neutral
1624539,neutral
1624522,neutral
1624512,neutral
1624504,positive
1624490,neutral
1624477,neutral
1624467,neutral
1624460,neutral
1624440,neutral
1624427,neutral
1624421,neutral
1624413,neutral
1624405,neutral
1624387,neutral
1624359,neutral
1624349,neutral
1624333,neutral
1624323,neutral
1624316,neutral
1624305,neutral
1624292,neutral
1624282,neutral
1624264,neutral
1624254,neutral
1624241,neutral
1624231,neutral
1624221,neutral
1624209,neutral
1624198,neutral
1624184,neutral
1624166,neutral
1624153,neutral
1624134,neutral
1624120,neutral
1624108,neutral
1624105,neutral
1624098,neutral
1624083,neutral
1624068,neutral
1624058,neutral
1624049,neutral
1624046,neutral
1623984,neutral
1623974,neutral
1623968,neutral
1623961,neutral
1623952,neutral
1623945,neutral
1623932,neutral
1623925,neutral
1623916,positive
1623909,neutral
1623903,neutral
1623891,neutral
1623871,neutral
1623862,neutral
1623852,neutral
1623843,neutral
1623828,neutral
1623820,neutral
1623807,neutral
1623797,neutral
1623785,neutral
1623767,neutral
1623757,neutral
1623743,neutral
1623736,neutral
1623726,neutral
1623719,neutral
1623711,neutral
1623701,neutral
1623694,neutral
1623675,neutral
1623653,neutral
1623637,neutral
1623622,neutral
1623609,positive
1623602,neutral
1623583,neutral
1623566,neutral
1623554,neutral
1623544,neutral
1623536,neutral
1623532,neutral
1623523,neutral
1623515,neutral
1623508,neutral
1623496,neutral
1623429,neutral
1623425,neutral
1623409,neutral
1623385,neutral
1623360,neutral
1623336,neutral
1623319,neutral
1623300,neutral
1623277,neutral
1623270,neutral
1623263,neutral
1623251,neutral
1623240,neutral
1623233,neutral
1623226,neutral
1623208,neutral
1623191,neutral
1623181,neutral
1623173,neutral
1623166,neutral
1623158,neutral
1623139,neutral
1623119,neutral
1623106,neutral
1623094,neutral
1623080,neutral
1623075,neutral
1623066,neutral
1623049,neutral
1623041,neutral
1623022,neutral
1623011,neutral
1622998,neutral
1622983,neutral
1622970,neutral
1622958,neutral
1622929,neutral
1622915,neutral
1622894,neutral
1622889,neutral
1622866,neutral
1622856,neutral
1622839,neutral
1622828,neutral
1622821,neutral
1622810,neutral
1622762,neutral
1622753,neutral
1622740,neutral
1622729,neutral
1622709,neutral
1622690,neutral
1622682,neutral
1622676,neutral
1622657,neutral
1622652,neutral
1622638,neutral
1622630,neutral
1622613,neutral
1622601,neutral
1622591,neutral
1622582,neutral
1622575,neutral
1622560,neutral
1622550,neutral
1622531,neutral
1622515,neutral
1622501,neutral
1622494,neutral
1622480,neutral
1622468,neutral
1622450,positive
1622444,neutral
1622431,neutral
1622413,neutral
1622401,neutral
1622373,neutral
1622337,neutral
1622311,neutral
1622303,neutral
1622281,neutral
1622261,neutral
1622239,neutral
1622227,neutral
1622215,neutral
1622210,neutral
1622195,neutral
1622185,neutral
1622164,neutral
1622160,neutral
1622151,neutral
1622142,neutral
1622084,neutral
1622078,neutral
1622060,neutral
1622023,neutral
1622010,neutral
1621997,neutral
1621983,neutral
1621964,neutral
1621953,neutral
1621933,neutral
1621914,neutral
1621904,neutral
1621896,neutral
1621888,neutral
1621875,neutral
1621865,neutral
1621855,neutral
1621850,neutral
1621829,neutral
1621823,neutral
1621810,neutral
1621800,neutral
1621777,neutral
1621758,neutral
1621750,neutral
1621732,neutral
1621726,neutral
1621708,neutral
1621694,neutral
1621672,neutral
1621664,neutral
1621655,neutral
1621638,neutral
1621619,neutral
1621613,neutral
1621596,neutral
1621586,neutral
1621569,neutral
1621560,neutral
1621544,neutral
1621532,neutral
1621503,neutral
1621486,neutral
1621471,neutral
1621459,neutral
1621396,neutral
1621390,neutral
1621373,neutral
1621358,neutral
1621334,neutral
1621324,neutral
1621314,neutral
1621303,neutral
1621296,neutral
1621284,neutral
1621268,neutral
1621255,neutral
1621247,neutral
1621233,neutral
1621224,neutral
1621197,neutral
1621191,neutral
1621184,neutral
1621162,neutral
1621140,neutral
1621134,neutral
1621124,neutral
1621117,neutral
1621102,neutral
1621093,neutral
1621080,neutral
1621061,neutral
1621051,neutral
1621034,neutral
1621028,neutral
1621006,neutral
1620984,neutral
1620973,neutral
1620960,neutral
1620945,neutral
1620936,neutral
1620918,neutral
1620898,neutral
1620880,neutral
1620872,neutral
1620850,neutral
1620841,neutral
1620832,neutral
1620822,neutral
1620801,neutral
1620783,neutral
1620645,neutral
1620635,neutral
1620627,neutral
1620602,neutral
1620588,neutral
1620573,neutral
1620562,neutral
1620542,neutral
1620525,neutral
1620498,neutral
1620468,neutral
1620446,neutral
1620435,neutral
1620424,neutral
1620409,neutral
1620396,neutral
1620376,neutral
1620356,neutral
1620339,neutral
1620325,neutral
1620313,neutral
1620294,neutral
1620269,neutral
1620262,neutral
1620247,neutral
1620237,neutral
1620208,neutral
1620194,neutral
1620176,neutral
1620168,neutral
1620147,neutral
1620131,neutral
1620118,neutral
1620104,neutral
1620081,neutral
1620066,neutral
1620045,neutral
1620033,positive
1620023,neutral
1620017,neutral
1620003,neutral
1619994,neutral
1619984,neutral
1619974,neutral
1619963,neutral
1619956,neutral
1619894,neutral
1619888,neutral
1619882,neutral
1619873,neutral
1619865,neutral
1619850,neutral
1619843,neutral
1619824,neutral
1619807,neutral
1619798,neutral
1619790,neutral
1619776,neutral
1619768,neutral
1619753,neutral
1619736,neutral
1619719,positive
1619695,neutral
1619678,neutral
1619671,neutral
1619658,neutral
1619640,neutral
1619625,neutral
1619593,neutral
1619567,neutral
1619559,neutral
1619545,neutral
1619531,neutral
1619521,neutral
1619507,neutral
1619479,neutral
1619469,neutral
1619457,neutral
1619436,neutral
1619416,neutral
1619406,neutral
1619397,neutral
1619382,neutral
1619357,neutral
1619345,neutral
1619319,neutral
1619308,neutral
1619290,neutral
1619272,neutral
1619259,neutral
1619246,neutral
1619158,neutral
1619151,neutral
1619138,neutral
1619120,neutral
1619108,neutral
1619088,neutral
1619077,neutral
1619053,neutral
1619029,neutral
1619015,neutral
1618995,neutral
1618988,neutral
1618975,neutral
1618961,neutral
1618949,neutral
1618932,neutral
1618916,neutral
1618907,neutral
1618893,neutral
1618872,neutral
1618858,neutral
1618831,neutral
1618818,neutral
1618808,neutral
1618795,neutral
1618782,neutral
1618767,neutral
1618761,neutral
1618750,neutral
1618743,neutral
1618732,neutral
1618723,neutral
1618711,neutral
1618706,neutral
1618700,neutral
1618673,neutral
1618656,neutral
1618645,neutral
1618637,neutral
1618630,neutral
1618612,neutral
1618575,neutral
1618564,neutral
1618542,neutral
1618532,neutral
1618450,neutral
1618444,neutral
1618433,neutral
1618426,neutral
1618418,neutral
1618405,neutral
1618381,neutral
1618350,neutral
1618338,neutral
1618325,neutral
1618313,neutral
1618296,neutral
1618291,neutral
1618282,neutral
1618270,neutral
1618252,neutral
1618233,neutral
1618226,neutral
1618221,neutral
1618206,neutral
1618193,neutral
1618169,neutral
1618148,neutral
1618130,neutral
1618115,neutral
1618107,neutral
1618088,neutral
1618076,neutral
1618061,neutral
1618051,neutral
1618035,neutral
1618018,neutral
1618011,neutral
1617989,neutral
1617976,neutral
1617961,neutral
1617953,neutral
1617936,neutral
1617924,neutral
1617917,neutral
1617905,neutral
1617898,neutral
1617884,neutral
1617880,neutral
1617861,neutral
1617851,neutral
1617732,neutral
1617725,neutral
1617719,neutral
1617697,neutral
1617680,neutral
1617654,neutral
1617646,neutral
1617631,neutral
1617614,neutral
1617598,neutral
1617581,neutral
1617548,neutral
1617531,neutral
1617519,neutral
1617511,neutral
1617491,neutral
1617474,neutral
1617464,neutral
1617461,neutral
1617452,neutral
1617438,neutral
1617412,neutral
1617396,neutral
1617378,neutral
1617363,neutral
1617346,neutral
1617334,neutral
1617325,neutral
1617313,neutral
1617297,neutral
1617282,neutral
1617266,neutral
1617262,neutral
1617257,neutral
1617247,neutral
1617236,neutral
1617229,neutral
1617186,neutral
1617170,neutral
1617161,positive
1617143,neutral
1617132,neutral
1617120,neutral
1617111,neutral
1617098,neutral
1617092,neutral
1617014,neutral
1617008,neutral
1616991,neutral
1616971,neutral
1616960,neutral
1616947,neutral
1616934,neutral
1616923,neutral
1616914,neutral
1616900,neutral
1616890,neutral
1616876,neutral
1616860,neutral
1616833,neutral
1616824,neutral
1616804,neutral
1616794,neutral
1616782,neutral
1616763,neutral
1616746,neutral
1616742,neutral
1616722,neutral
1616708,neutral
1616691,neutral
1616676,neutral
1616648,neutral
1616637,positive
1616627,neutral
1616606,neutral
1616591,neutral
1616583,neutral
1616558,neutral
1616538,neutral
1616515,neutral
1616486,neutral
1616456,neutral
1616438,neutral
1616421,neutral
1616400,neutral
1616380,neutral
1616359,neutral
1616353,neutral
1616330,neutral
1616322,neutral
1616303,neutral
1616292,neutral
1616177,neutral
1616162,neutral
1616151,neutral
1616139,neutral
1616124,neutral
1616098,neutral
1616084,neutral
1616079,neutral
1616064,neutral
1616053,neutral
1616029,neutral
1616000,neutral
1615969,neutral
1615962,neutral
1615953,neutral
1615929,neutral
1615915,neutral
1615902,neutral
1615895,neutral
1615881,neutral
1615867,neutral
1615854,neutral
1615845,neutral
1615835,neutral
1615822,neutral
1615811,neutral
1615798,neutral
1615792,neutral
1615786,neutral
1615783,neutral
1615775,neutral
1615772,neutral
1615734,neutral
1615731,neutral
1615719,neutral
1615700,neutral
1615683,neutral
1615673,neutral
1615656,neutral
1615650,neutral
1615643,neutral
1615635,neutral
1615618,neutral
1615615,neutral
1615598,neutral
1615593,neutral
1615542,neutral
1615529,neutral
1615515,neutral
1615505,neutral
1615484,neutral
1615473,neutral
1615458,neutral
1615446,neutral
1615437,neutral
1615417,neutral
1615396,neutral
1615388,neutral
1615377,neutral
1615374,neutral
1615358,positive
1615357,neutral
1615343,neutral
1615335,neutral
1615315,neutral
1615306,neutral
1615296,neutral
1615283,neutral
1615266,neutral
1615251,neutral
1615235,neutral
1615222,neutral
1615216,neutral
1615198,neutral
1615185,neutral
1615173,neutral
1615161,neutral
1615149,neutral
1615145,neutral
1615132,neutral
1615110,neutral
1615095,neutral
1615082,neutral
1615060,neutral
1615045,neutral
1615028,neutral
1615016,neutral
1615002,neutral
1614992,neutral
1614924,neutral
1614912,neutral
1614904,neutral
1614884,neutral
1614868,neutral
1614857,neutral
1614848,neutral
1614834,neutral
1614822,neutral
1614814,neutral
1614806,neutral
1614790,neutral
1614782,neutral
1614779,neutral
1614761,neutral
1614750,neutral
1614737,neutral
1614726,neutral
1614716,neutral
1614703,neutral
1614694,neutral
1614683,neutral
1614668,neutral
1614653,neutral
1614641,neutral
1614630,neutral
1614620,neutral
1614614,neutral
1614599,neutral
1614591,neutral
1614582,neutral
1614569,neutral
1614555,neutral
1614547,neutral
1614538,neutral
1614526,neutral
1614500,neutral
1614488,neutral
1614474,neutral
1614459,neutral
1614446,neutral
1614441,neutral
1614428,neutral
1614416,neutral
1614402,neutral
1614394,neutral
1614287,neutral
1614280,neutral
1614275,neutral
1614262,neutral
1614255,neutral
1614236,neutral
1614226,neutral
1614207,neutral
1614194,neutral
1614180,neutral
1614167,neutral
1614150,neutral
1614133,neutral
1614118,neutral
1614102,neutral
1614087,neutral
1614057,neutral
1614039,neutral
1614029,neutral
1614014,neutral
1614000,neutral
1613986,neutral
1613968,neutral
1613958,neutral
1613941,neutral
1613927,neutral
1613910,neutral
1613897,neutral
1613887,neutral
1613874,neutral
1613858,positive
1613838,neutral
1613817,neutral
1613797,neutral
1613770,neutral
1613751,neutral
1613738,neutral
1613727,neutral
1613714,neutral
1613702,neutral
1613677,neutral
1613662,neutral
1613624,neutral
1613608,positive
1613573,neutral
1613568,neutral
1613488,neutral
1613478,neutral
1613474,neutral
1613447,neutral
1613412,neutral
1613389,neutral
1613353,neutral
1613338,neutral
1613299,neutral
1613275,neutral
1613262,neutral
1613246,neutral
1613205,neutral
1613186,neutral
1613161,neutral
1613137,neutral
1613117,neutral
1613105,neutral
1613088,neutral
1613063,neutral
1613042,neutral
1613020,neutral
1612995,neutral
1612990,neutral
1612979,neutral
1612967,neutral
1612963,neutral
1612954,neutral
1612940,neutral
1612924,neutral
1612907,neutral
1612893,neutral
1612885,neutral
1612872,positive
1612855,neutral
1612849,neutral
1612836,neutral
1612825,neutral
1612809,neutral
1612802,neutral
1612782,neutral
1612773,neutral
1612762,neutral
1612757,neutral
1612750,neutral
1612746,neutral
1612666,neutral
1612656,neutral
1612648,neutral
1612638,neutral
1612621,neutral
1612605,neutral
1612584,neutral
1612571,neutral
1612550,neutral
1612536,positive
1612532,neutral
1612510,neutral
1612499,neutral
1612489,neutral
1612478,neutral
1612469,neutral
1612458,neutral
1612444,neutral
1612437,neutral
1612426,neutral
1612416,neutral
1612403,neutral
1612394,neutral
1612384,neutral
1612375,neutral
1612364,neutral
1612355,neutral
1612351,neutral
1612335,neutral
1612325,neutral
1612313,neutral
1612301,neutral
1612291,neutral
1612276,neutral
1612263,neutral
1612247,neutral
1612231,neutral
1612221,neutral
1612206,neutral
1612191,neutral
1612166,neutral
1612143,neutral
1612123,neutral
1612114,neutral
1612103,neutral
1612099,neutral
1612043,neutral
1612030,neutral
1612026,neutral
1612019,neutral
1612009,neutral
1612001,neutral
1611996,neutral
1611985,neutral
1611967,neutral
1611950,neutral
1611940,neutral
1611932,neutral
1611924,neutral
1611909,neutral
1611900,neutral
1611892,neutral
1611884,neutral
1611877,positive
1611875,neutral
1611853,neutral
1611842,neutral
1611820,neutral
1611807,neutral
1611798,neutral
1611795,neutral
1611788,neutral
1611777,neutral
1611771,neutral
1611763,neutral
1611749,neutral
1611715,neutral
1611706,neutral
1611701,neutral
1611684,neutral
1611667,neutral
1611644,neutral
1611622,neutral
1611603,neutral
1611590,neutral
1611583,neutral
1611562,neutral
1611558,neutral
1611548,neutral
1611539,neutral
1611525,neutral
1611519,neutral
1611463,neutral
1611449,neutral
1611444,neutral
1611436,neutral
1611431,neutral
1611423,neutral
1611417,neutral
1611413,neutral
1611404,neutral
1611387,neutral
1611374,neutral
1611352,neutral
1611341,neutral
1611324,neutral
1611314,neutral
1611308,neutral
1611303,neutral
1611294,neutral
1611285,neutral
1611266,neutral
1611251,neutral
1611218,neutral
1611210,neutral
1611200,neutral
1611187,neutral
1611177,neutral
1611171,neutral
1611157,neutral
1611145,neutral
1611134,neutral
1611117,neutral
1611098,neutral
1611088,neutral
1611070,neutral
1611061,neutral
1611046,neutral
1611042,neutral
1611039,neutral
1611031,positive
1611025,neutral
1611014,neutral
1611004,neutral
1610983,neutral
1610977,neutral
1610968,neutral
1610963,neutral
1610923,neutral
1610917,neutral
1610906,neutral
1610895,neutral
1610888,neutral
1610874,neutral
1610860,neutral
1610844,neutral
1610841,neutral
1610824,neutral
1610815,neutral
1610808,neutral
1610801,neutral
1610790,neutral
1610786,neutral
1610780,neutral
1610765,neutral
1610755,neutral
1610747,neutral
1610740,neutral
1610736,neutral
1610727,neutral
1610718,neutral
1610699,neutral
1610685,neutral
1610673,neutral
1610655,neutral
1610642,neutral
1610634,neutral
1610612,neutral
1610605,neutral
1610592,neutral
1610581,neutral
1610566,neutral
1610562,neutral
1610547,neutral
1610534,neutral
1610525,neutral
1610517,neutral
1610506,neutral
1610498,neutral
1610489,neutral
1610485,neutral
1610475,neutral
1610469,neutral
1610393,neutral
1610386,neutral
1610377,neutral
1610358,neutral
1610349,neutral
1610337,neutral
1610324,neutral
1610304,neutral
1610293,neutral
1610279,neutral
1610268,neutral
1610253,neutral
1610238,neutral
1610227,neutral
1610221,neutral
1610210,neutral
1610188,neutral
1610172,neutral
1610162,neutral
1610157,neutral
1610152,neutral
1610147,neutral
1610141,neutral
1610133,neutral
1610124,neutral
1610111,neutral
1610099,neutral
1610089,neutral
1610074,neutral
1610057,neutral
1610053,neutral
